< SquareGame.jack, 17, class, 0 >
< SquareGame.jack, 17, SquareGame, 1 >
< SquareGame.jack, 17, {, 6 >
< SquareGame.jack, 18, field, 0 >
< SquareGame.jack, 18, Square, 1 >
< SquareGame.jack, 18, square, 1 >
< SquareGame.jack, 18, ;, 6 >
< SquareGame.jack, 19, field, 0 >
< SquareGame.jack, 19, int, 0 >
< SquareGame.jack, 19, direction, 1 >
< SquareGame.jack, 19, ;, 6 >
< SquareGame.jack, 23, constructor, 0 >
< SquareGame.jack, 23, SquareGame, 1 >
< SquareGame.jack, 23, new, 1 >
< SquareGame.jack, 23, (, 6 >
< SquareGame.jack, 23, ), 6 >
< SquareGame.jack, 23, {, 6 >
< SquareGame.jack, 26, let, 0 >
< SquareGame.jack, 26, square, 1 >
< SquareGame.jack, 26, =, 6 >
< SquareGame.jack, 26, Square, 1 >
< SquareGame.jack, 26, ., 6 >
< SquareGame.jack, 26, new, 1 >
< SquareGame.jack, 26, (, 6 >
< SquareGame.jack, 26, 0, 2 >
< SquareGame.jack, 26, ,, 6 >
< SquareGame.jack, 26, 0, 2 >
< SquareGame.jack, 26, ,, 6 >
< SquareGame.jack, 26, 30, 2 >
< SquareGame.jack, 26, ), 6 >
< SquareGame.jack, 26, ;, 6 >
< SquareGame.jack, 27, let, 0 >
< SquareGame.jack, 27, direction, 1 >
< SquareGame.jack, 27, =, 6 >
< SquareGame.jack, 27, 0, 2 >
< SquareGame.jack, 27, ;, 6 >
< SquareGame.jack, 28, return, 0 >
< SquareGame.jack, 28, this, 0 >
< SquareGame.jack, 28, ;, 6 >
< SquareGame.jack, 29, }, 6 >
< SquareGame.jack, 32, method, 0 >
< SquareGame.jack, 32, void, 0 >
< SquareGame.jack, 32, dispose, 1 >
< SquareGame.jack, 32, (, 6 >
< SquareGame.jack, 32, ), 6 >
< SquareGame.jack, 32, {, 6 >
< SquareGame.jack, 33, do, 0 >
< SquareGame.jack, 33, square, 1 >
< SquareGame.jack, 33, ., 6 >
< SquareGame.jack, 33, dispose, 1 >
< SquareGame.jack, 33, (, 6 >
< SquareGame.jack, 33, ), 6 >
